MB,delay,tcp_size,parallel_buffer,N,run,seconds
10240,50,big,75,3,3,13.5548770428
10240,50,big,75,3,4,17.6325139999
10240,50,big,75,3,5,13.4526360035
10240,50,big,75,3,6,13.6111190319
10240,50,big,75,3,7,13.7525320053
10240,50,big,75,3,8,13.5047650337
10240,50,big,75,3,9,13.5003478527
10240,50,big,100,3,1,17.0563659668
10240,50,big,100,3,2,14.3671419621
10240,50,big,100,3,3,13.4535958767
10240,50,big,100,3,4,13.8799049854
10240,50,big,100,3,5,14.4446821213
10240,50,big,100,3,6,13.5104269981
10240,50,big,100,3,7,13.4629938602
10240,50,big,100,3,8,13.4398767948
10240,50,big,100,3,9,13.6479139328
10240,50,big,200,3,1,14.4877460003
10240,50,big,200,3,2,14.4218928814
10240,50,big,200,3,3,13.8980219364
10240,50,big,200,3,4,13.4628071785
10240,50,big,200,3,5,13.4839019775
10240,50,big,200,3,6,13.7321388721
10240,50,big,200,3,7,13.7275578976
10240,50,big,200,3,8,13.6962141991
10240,50,big,200,3,9,13.5837850571
10240,50,big,400,3,1,13.9387550354
10240,50,big,400,3,2,14.3738129139
10240,50,big,400,3,3,14.4399459362
10240,50,big,400,3,4,18.0043888092
10240,50,big,400,3,5,13.4543700218
10240,50,big,400,3,6,13.5383009911
10240,50,big,400,3,7,13.6567230225
10240,50,big,400,3,8,13.6014339924
10240,50,big,400,3,9,13.3276329041
10240,60,big,4,3,1,14.1351959705
10240,60,big,4,3,2,14.4406430721
10240,60,big,4,3,3,17.9453949928
10240,60,big,4,3,4,14.5626831055
10240,60,big,4,3,5,18.1305270195
10240,60,big,4,3,6,14.6696579456
10240,60,big,4,3,7,14.3198068142
10240,60,big,4,3,8,14.6938009262
10240,60,big,4,3,9,14.3430941105
10240,60,big,10,3,1,14.5306019783
10240,60,big,10,3,2,15.0124211311
10240,60,big,10,3,3,14.5073270798
10240,60,big,10,3,4,14.5786919594
10240,60,big,10,3,5,14.959348917
10240,60,big,10,3,6,14.9724011421
10240,60,big,10,3,7,14.6361598969
10240,60,big,10,3,8,14.5123591423
10240,60,big,10,3,9,14.4683959484
10240,60,big,25,3,1,15.7182469368
10240,60,big,25,3,2,15.0655720234
10240,60,big,25,3,3,15.0346598625
10240,60,big,25,3,4,15.8269701004
10240,60,big,25,3,5,15.9232039452
10240,60,big,25,3,6,15.9171271324
10240,60,big,25,3,7,15.4966490269
10240,60,big,25,3,8,15.6657040119
10240,60,big,25,3,9,15.6238498688
10240,60,big,50,3,1,16.194024086
10240,60,big,50,3,2,16.2863321304
10240,60,big,50,3,3,16.2423191071
10240,60,big,50,3,4,15.2317810059
10240,60,big,50,3,5,15.5641269684
10240,60,big,50,3,6,15.8259761333
10240,60,big,50,3,7,15.3132100105
10240,60,big,50,3,8,15.9476799965
